,BAD_1_1,BAD_14_2,BAD_18_1,BAD_3_1,BAD_8_1,FOUM_14_2,FOUM_17_2,FOUM_3_1,FOUM_7_2,FOUM_8_2,HS_16_2,HS_18_2,HS_3_1,HS_7_1,HS_FA_2_2,IR_10_2,IR_13_1,IR_17_1,IR_4_2,IR_7_1,NI_13_2,NI_16_2,NI_19_1,NI_3_1,NI_7_2,TE_1_10_1_2,TE_11_20_1_2,TE_21_30_1_1,TE_6_43_1,TE_FA_1_1
24ba85af80e3546a9613feec965d9f62c7cbe776,0,0,0,0,0,0,0,0,0,0,0,96,0,0,4049,311,0,0,98,0,0,0,0,0,0,0,0,0,0,0
c6338a60a484212350feb1f622114f18a6507c58,1684,348,0,271,0,1166,0,485,192,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
5973702e00637cdb689d500b573b770d3a37da38,0,0,375,0,0,0,0,0,0,0,1197,287,0,1344,0,0,198,484,117,274,0,0,0,0,0,0,0,0,0,0
273179eb6aef3a8001f6f07f6ebf093c3b651b87,0,175,0,0,192,0,239,0,0,0,0,0,378,0,0,40,0,195,0,0,251,189,255,0,559,373,274,496,87,415
d915eab0d9b59d7801bb6326c303a1f33252f33e,118,125,121,176,267,127,234,105,194,177,108,213,308,155,0,0,0,189,0,0,125,244,181,0,148,0,0,162,307,204
7676b78e375b6eec50a93483e9ada9cadb232839,0,64,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,152,3318,170,0,239
e38b485199f700684a1545101211714100370c91,114,132,131,93,213,130,232,202,205,142,125,56,253,143,0,54,33,139,0,0,0,131,102,67,55,173,0,397,399,113
42116c0acb06b6e2c742bb13d9b41d6d60510524,19,0,0,0,0,0,52,15,0,0,54,0,544,0,0,0,0,24,0,0,0,202,119,0,625,407,82,981,448,226
ddb196519c0511decdf652593ba98244aeeb623f,82,617,0,234,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,993,368,97,0,817
814429ce330d2d185e909c1bd607de47b70c411c,176,211,359,170,174,141,115,342,288,405,66,0,179,228,0,25,0,65,0,0,0,30,159,46,0,57,37,76,219,65
169022e205e16dd8e7e96a16f317ac3b2772ab85,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,469,2233,0,156,416,0,0,0,0,0,0,0,0,0,0
8b4e26bd54c37745cab6e5c3a6e97b1336791c4c,185,113,31,137,196,52,280,98,218,302,32,42,189,0,0,0,0,109,0,0,54,163,212,0,180,234,145,298,68,180
8b79bf8a3e3ec80bd0c41761f5ad090c98986e57,193,102,0,139,206,127,263,67,120,149,26,0,189,0,0,0,0,140,0,0,217,213,164,42,223,250,173,157,151,178
3281e37119fe058b33a426268a78f7a4ada96fcb,0,100,0,239,0,185,0,0,0,224,213,179,221,210,180,155,0,188,0,175,0,232,295,0,251,132,0,98,184,0
4667b793defcd4dfe871ab21d3896b3a2d5ad2e4,0,0,336,0,0,0,0,0,0,0,307,197,74,270,0,0,1442,166,460,143,0,0,0,0,0,0,0,0,0,0
b3b2508a795cf2ae1949eff8c8e29aa3dd7166a2,3360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e5f8c739fb6c8785f16c3b9ff77644dc785dca2,0,99,153,132,122,93,188,187,206,247,149,0,119,327,0,52,109,150,0,175,68,91,114,95,0,213,0,0,172,81
746b879098caca1edd25e1cd0754222a53c55c4a,0,0,102,0,44,167,0,96,0,36,132,175,0,120,892,126,101,0,348,472,0,0,89,251,12,0,0,0,125,0
9aa7175f9a1d43c0f13deadcb7a8afd0f9bdbc63,161,88,106,114,164,77,122,156,433,644,32,26,178,31,0,0,0,108,0,0,0,94,64,0,52,125,0,70,220,95
d895e847d33b5fa4da79e358691dec9cd2676bc9,0,0,0,0,0,0,0,0,0,0,74,216,0,223,664,565,430,0,313,646,0,0,0,0,0,0,0,0,0,0
64d9244431dfe71289be7f3beb1f9eacd534f0c4,186,164,135,0,235,106,176,191,184,195,72,0,185,167,0,0,0,129,0,0,0,191,119,181,24,104,0,144,209,0
a7993ebfa6a6b5073a201e76bfe7b185e1849614,69,0,0,75,174,73,195,54,95,282,0,0,150,80,0,0,0,213,45,0,0,217,395,0,207,212,41,231,148,139
e666fff32cd459895f720f0461c061e82b92de29,0,0,122,0,0,0,0,0,0,0,121,159,0,270,668,108,161,159,196,548,135,119,0,140,0,0,0,0,88,19
