"","categorie","estimate","value"
"146","OGF","amf_shannon",2.49761778735855
"147","OGF","amf_simpson",2.15441551775012
"148","OGF","bacterial_richness",980
"149","OGF","bacterial_shannon",591.888827010685
"150","OGF","bacterial_simpson",328.6225841882
"151","[1-10]","amf_richness",43
"152","[1-10]","amf_shannon",17.4310995586979
"153","[1-10]","amf_simpson",10.2702823346876
"154","[1-10]","bacterial_richness",576
"155","[1-10]","bacterial_shannon",260.522803757686
"156","[1-10]","bacterial_simpson",103.343306792701
"157","[11-20]","amf_richness",60
"158","[11-20]","amf_shannon",10.4742269977548
"159","[11-20]","amf_simpson",6.58695939561185
"160","[11-20]","bacterial_richness",654
"161","[11-20]","bacterial_shannon",202.246519817896
"162","[11-20]","bacterial_simpson",73.0458480272369
"163","[21-30]","amf_richness",53
"164","[21-30]","amf_shannon",16.1806437288731
"165","[21-30]","amf_simpson",8.60650013943059
"166","[21-30]","bacterial_richness",828
"167","[21-30]","bacterial_shannon",444.209840371952
"168","[21-30]","bacterial_simpson",208.345577507173
"169","[30 <[","amf_richness",69
"170","[30 <[","amf_shannon",12.810634191723
"171","[30 <[","amf_simpson",7.62142344218702
"172","[30 <[","bacterial_richness",674
"173","[30 <[","bacterial_shannon",341.895506172955
"174","[30 <[","bacterial_simpson",158.394563137295
"175","OGF","amf_richness",70
"176","OGF","amf_shannon",15.1470520057618
"177","OGF","amf_simpson",6.50767325976796
"178","OGF","bacterial_richness",517
"179","OGF","bacterial_shannon",318.999799208772
"180","OGF","bacterial_simpson",135.71132080402
